age,area_percentage,has_superstructure_mud_mortar_stone,has_superstructure_cement_mortar_brick,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,geo_level_1_id_17,geo_level_1_id_26,foundation_type_i,foundation_type_r,foundation_type_w,roof_type_x,ground_floor_type_v,other_floor_type_j,other_floor_type_s
0,8,0,1,0,0,0,0,0,0,1,0,1,0,0
0,13,0,1,0,0,0,1,1,0,0,0,1,1,0
0,9,1,0,0,0,0,0,0,1,0,0,0,0,0
5,11,0,0,1,0,0,0,1,0,0,1,1,1,0
0,15,1,1,0,0,0,1,0,0,0,1,1,1,0
0,12,0,1,0,1,0,0,1,0,0,1,1,1,0
0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
0,37,0,0,0,1,0,1,0,1,0,1,1,1,0
0,14,0,0,1,0,0,0,1,0,0,1,1,0,1
10,11,0,1,0,0,0,1,0,1,0,1,1,1,0
0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
30,4,0,0,0,0,0,1,0,1,0,0,0,0,0
45,9,1,0,0,0,0,0,0,1,0,0,0,0,0
0,11,0,1,0,0,0,1,0,0,0,0,1,0,0
0,6,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
10,6,0,0,0,0,0,0,0,0,1,0,0,1,0
0,6,0,1,0,0,0,1,0,0,1,0,1,1,0
10,13,0,0,0,0,0,0,0,0,1,0,0,0,0
0,20,0,1,0,1,0,0,1,0,0,1,0,0,1
5,16,0,0,1,0,0,0,1,0,0,1,1,0,1
15,11,0,1,0,0,0,1,0,1,0,1,1,1,0
0,4,0,1,0,0,0,1,0,0,1,0,0,1,0
5,8,0,0,0,0,0,1,0,0,0,0,0,0,0
35,9,1,0,1,0,0,0,0,1,0,0,0,0,0
5,1,0,0,0,0,0,1,0,0,1,0,0,1,0
15,9,0,1,0,0,0,0,0,0,0,0,0,1,0
0,10,0,0,0,1,0,0,1,0,0,1,1,0,1
5,20,0,1,0,1,0,0,1,0,0,1,1,0,1
15,15,0,1,0,0,0,0,1,0,0,1,1,0,1
0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0,0,1,0,0,0,0
0,12,0,1,0,0,0,1,0,0,0,0,1,1,0
10,5,1,0,0,0,0,0,0,1,0,0,0,0,0
15,4,1,0,0,0,0,1,0,1,0,0,0,0,0
0,12,0,1,0,0,0,0,0,1,0,1,1,1,0
0,12,0,1,0,0,0,1,0,1,0,0,1,1,0
20,6,1,0,0,0,0,0,0,1,0,0,0,0,0
10,8,0,0,1,0,0,0,1,0,0,0,1,1,0
0,19,0,0,1,0,0,0,1,0,0,1,1,1,0
35,13,1,0,0,0,0,0,0,1,0,0,0,0,0
